Name,Measure Info,Geo Place Name,Unnamed: 8,,Data Value,Zip Code,Borough
Nitrogen dioxide (NO2),ppb,Sheepshead Bay (CD15),,,19.88,11235,Brooklyn
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),,,14.27800685,11427,Queens
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),,,14.55,11427,Queens
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),,,21.61,11427,Queens
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),,,8.23,11427,Queens
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),,,6.77,11427,Queens
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),,,6.338519067,11427,Queens
Nitrogen dioxide (NO2),ppb,Coney Island (CD13),,,18.02621754,11224,Brooklyn
Nitrogen dioxide (NO2),ppb,Coney Island (CD13),,,13.49860962,11224,Brooklyn
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),,,6.53,11427,Queens
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),,,6.44,11427,Queens
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),,,6.442329619,11427,Queens
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),,,7.801814418,11427,Queens
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),,,12.07,11427,Queens
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),,,13.03,11427,Queens
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),,,20.17,11427,Queens
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),,,17.795487,11427,Queens
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),,,14.84317832,11427,Queens
Nitrogen dioxide (NO2),ppb,South Bronx,,,22.13,10455,Bronx
Nitrogen dioxide (NO2),ppb,Jamaica,,,20.87859767,11432,Queens
Fine particles (PM 2.5),mcg/m3,Coney Island (CD13),,,5.98,11224,Brooklyn
Fine particles (PM 2.5),mcg/m3,Sheepshead Bay (CD15),,,6.07,11235,Brooklyn
Nitrogen dioxide (NO2),ppb,South Beach - Tottenville,,,7.62,10307,Staten Island
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),,,10.19,11693,Queens
Fine particles (PM 2.5),mcg/m3,Sunset Park (CD7),,,8.9,11220,Brooklyn
Fine particles (PM 2.5),mcg/m3,East New York,,,8.94,11207,Brooklyn
Fine particles (PM 2.5),mcg/m3,Williamsburg - Bushwick,,,9.7,11206,Brooklyn
Fine particles (PM 2.5),mcg/m3,Bayside - Little Neck,,,8.55,11361,Queens
Fine particles (PM 2.5),mcg/m3,South Beach - Tottenville,,,8.28,10307,Staten Island
Boiler Emissions- Total SO2 Emissions,number,Williamsburg - Bushwick,,,0.3,11206,Brooklyn
Fine particles (PM 2.5),mcg/m3,East New York,,,11.75,11207,Brooklyn
Fine particles (PM 2.5),mcg/m3,East New York,,,10.08,11207,Brooklyn
Fine particles (PM 2.5),mcg/m3,Williamsburg - Bushwick,,,14.57,11206,Brooklyn
Fine particles (PM 2.5),mcg/m3,Williamsburg - Bushwick,,,12.74,11206,Brooklyn
Fine particles (PM 2.5),mcg/m3,Williamsburg - Bushwick,,,9.36,11206,Brooklyn
Fine particles (PM 2.5),mcg/m3,Upper West Side,,,8.33,,
Fine particles (PM 2.5),mcg/m3,Bayside - Little Neck,,,9.87,11361,Queens
Fine particles (PM 2.5),mcg/m3,Bayside - Little Neck,,,8.08,11361,Queens
Fine particles (PM 2.5),mcg/m3,Bayside - Little Neck,,,6.290971464,11361,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,6.407498086,11365,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,11.31,11365,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,11.04,11365,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,7.47,11365,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,7.43,11365,Queens
Fine particles (PM 2.5),mcg/m3,Flatbush and Midwood (CD14),,,6.529592865,11230,Brooklyn
Fine particles (PM 2.5),mcg/m3,Sunset Park (CD7),,,9.7,11220,Brooklyn
Fine particles (PM 2.5),mcg/m3,Flushing and Whitestone (CD7),,,8.48,11354,Queens
Fine particles (PM 2.5),mcg/m3,Sunset Park (CD7),,,9.55,11220,Brooklyn
Fine particles (PM 2.5),mcg/m3,Sunset Park (CD7),,,8.02,11220,Brooklyn
Boiler Emissions- Total SO2 Emissions,number,Bayside - Little Neck,,,1.6,11361,Queens
Nitrogen dioxide (NO2),ppb,South Beach - Tottenville,,,11.51,10307,Staten Island
Nitrogen dioxide (NO2),ppb,South Beach - Tottenville,,,20.56,10307,Staten Island
Nitrogen dioxide (NO2),ppb,South Beach - Tottenville,,,10.8,10307,Staten Island
Fine particles (PM 2.5),mcg/m3,East New York,,,10.9,11207,Brooklyn
Fine particles (PM 2.5),mcg/m3,Sheepshead Bay (CD15),,,5.389991444,11235,Brooklyn
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),,,7.47,11427,Queens
Nitrogen dioxide (NO2),ppb,Coney Island (CD13),,,18.16,11224,Brooklyn
Nitrogen dioxide (NO2),ppb,Sheepshead Bay (CD15),,,10.99,11235,Brooklyn
Nitrogen dioxide (NO2),ppb,South Bronx,,,24.57,10455,Bronx
Nitrogen dioxide (NO2),ppb,Jamaica,,,23.94,11432,Queens
Nitrogen dioxide (NO2),ppb,Jamaica,,,15.2992962,11432,Queens
Nitrogen dioxide (NO2),ppb,South Bronx,,,18.11753712,10455,Bronx
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),,,6.03,11427,Queens
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),,,5.441903521,11427,Queens
Fine particles (PM 2.5),mcg/m3,Borough Park,,,6.651149578,11219,Brooklyn
Fine particles (PM 2.5),mcg/m3,Long Island City - Astoria,,,12.33,11101,Queens
Fine particles (PM 2.5),mcg/m3,Jamaica,,,6.690577085,11432,Queens
Fine particles (PM 2.5),mcg/m3,Coney Island (CD13),,,5.764514434,11224,Brooklyn
Fine particles (PM 2.5),mcg/m3,Sheepshead Bay (CD15),,,6.97,11235,Brooklyn
Fine particles (PM 2.5),mcg/m3,Sheepshead Bay (CD15),,,5.783695731,11235,Brooklyn
Fine particles (PM 2.5),mcg/m3,Coney Island (CD13),,,7.83,11224,Brooklyn
Fine particles (PM 2.5),mcg/m3,Sheepshead Bay (CD15),,,8.25,11235,Brooklyn
Fine particles (PM 2.5),mcg/m3,South Bronx,,,6.835494527,10455,Bronx
Fine particles (PM 2.5),mcg/m3,Long Island City - Astoria,,,13.64,11101,Queens
Nitrogen dioxide (NO2),ppb,Jamaica,,,18.96,11432,Queens
Nitrogen dioxide (NO2),ppb,South Bronx,,,14.46094161,10455,Bronx
Nitrogen dioxide (NO2),ppb,South Bronx,,,22.85584381,10455,Bronx
Nitrogen dioxide (NO2),ppb,Jamaica,,,16.57,11432,Queens
Fine particles (PM 2.5),mcg/m3,Borough Park,,,7.45,11219,Brooklyn
Fine particles (PM 2.5),mcg/m3,Borough Park,,,8.338108221,11219,Brooklyn
Fine particles (PM 2.5),mcg/m3,Long Island City - Astoria,,,11.18,11101,Queens
Fine particles (PM 2.5),mcg/m3,Long Island City - Astoria,,,11.07,11101,Queens
Nitrogen dioxide (NO2),ppb,Jamaica,,,23.83,11432,Queens
Nitrogen dioxide (NO2),ppb,South Bronx,,,17.25017525,10455,Bronx
Nitrogen dioxide (NO2),ppb,Long Island City - Astoria,,,27.14,11101,Queens
Nitrogen dioxide (NO2),ppb,Long Island City - Astoria,,,20.24,11101,Queens
Nitrogen dioxide (NO2),ppb,Jamaica,,,26.89,11432,Queens
Nitrogen dioxide (NO2),ppb,Jamaica,,,15.51,11432,Queens
Nitrogen dioxide (NO2),ppb,Jamaica,,,14.86027012,11432,Queens
Fine particles (PM 2.5),mcg/m3,East New York,,,11.26,11207,Brooklyn
Fine particles (PM 2.5),mcg/m3,Williamsburg - Bushwick,,,13.48,11206,Brooklyn
Fine particles (PM 2.5),mcg/m3,Bayside - Little Neck,,,7.37,11361,Queens
Fine particles (PM 2.5),mcg/m3,Bayside - Little Neck,,,7.38,11361,Queens
Fine particles (PM 2.5),mcg/m3,Bayside - Little Neck,,,6.409598292,11361,Queens
Fine particles (PM 2.5),mcg/m3,Sunset Park,,,10.62,11220,Brooklyn
Fine particles (PM 2.5),mcg/m3,Sunset Park,,,7.72,11220,Brooklyn
Fine particles (PM 2.5),mcg/m3,South Beach - Tottenville,,,11.25,10307,Staten Island
Nitrogen dioxide (NO2),ppb,Southeast Queens,,,25.88,11434,Queens
Nitrogen dioxide (NO2),ppb,Southeast Queens,,,21.61,11434,Queens
Nitrogen dioxide (NO2),ppb,Southeast Queens,,,14.11301581,11434,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,14.65,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,14.84032198,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,26.5,11365,Queens
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,,,25.9,11365,Queens
Fine particles (PM 2.5),mcg/m3,East New York,,,9.68,11207,Brooklyn
Fine particles (PM 2.5),mcg/m3,Williamsburg - Bushwick,,,12.31,11206,Brooklyn
Fine particles (PM 2.5),mcg/m3,Williamsburg - Bushwick,,,12.2,11206,Brooklyn
Fine particles (PM 2.5),mcg/m3,Bayside - Little Neck,,,6.88,11361,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,8.23,11434,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,9.96,11365,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,12.13,11365,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,8.13,11365,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,6.22951803,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,11.44,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,7.85,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,9.65,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,6.75,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,7.692537752,11434,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,6.593739371,11365,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,9.95,11365,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,9.87,11365,Queens
Fine particles (PM 2.5),mcg/m3,Jamaica,,,8.63,11432,Queens
Fine particles (PM 2.5),mcg/m3,Jamaica,,,6.429053208,11432,Queens
Fine particles (PM 2.5),mcg/m3,South Bronx,,,6.826255998,10455,Bronx
Fine particles (PM 2.5),mcg/m3,Jamaica,,,11.87,11432,Queens
Fine particles (PM 2.5),mcg/m3,South Bronx,,,11.35,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,14.54,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,9.7,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,10.57,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,8.2,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,7.246660099,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,8.792481229,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,11.02,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,10.93,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,8.21,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,7.7,10455,Bronx
Fine particles (PM 2.5),mcg/m3,Borough Park,,,5.665083598,11219,Brooklyn
Fine particles (PM 2.5),mcg/m3,Jamaica,,,7.71,11432,Queens
Fine particles (PM 2.5),mcg/m3,South Bronx,,,6.190293563,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,14.74,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,13.08,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,8.65,10455,Bronx
Fine particles (PM 2.5),mcg/m3,Jamaica,,,10.93,11432,Queens
Fine particles (PM 2.5),mcg/m3,Jamaica,,,6.24,11432,Queens
Fine particles (PM 2.5),mcg/m3,Jamaica,,,5.627665469,11432,Queens
Fine particles (PM 2.5),mcg/m3,Jamaica,,,12.69,11432,Queens
Fine particles (PM 2.5),mcg/m3,Borough Park,,,6.105061444,11219,Brooklyn
Fine particles (PM 2.5),mcg/m3,Borough Park,,,6.58301364,11219,Brooklyn
Fine particles (PM 2.5),mcg/m3,Canarsie - Flatlands,,,8.97,11236,Brooklyn
Fine particles (PM 2.5),mcg/m3,South Bronx,,,12.64,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,12.15,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,8.76,10455,Bronx
Fine particles (PM 2.5),mcg/m3,South Bronx,,,8.89,10455,Bronx
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),,,6.146248912,11427,Queens
Nitrogen dioxide (NO2),ppb,South Bronx,,,17.32567467,10455,Bronx
Nitrogen dioxide (NO2),ppb,South Bronx,,,21.77739196,10455,Bronx
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,6.94,11365,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,9.75,11434,Queens
Fine particles (PM 2.5),mcg/m3,Sunset Park,,,13.49,11220,Brooklyn
Fine particles (PM 2.5),mcg/m3,Sunset Park,,,9.25,11220,Brooklyn
Fine particles (PM 2.5),mcg/m3,Sunset Park,,,7.32,11220,Brooklyn
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,7.58,11365,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,6.19,11365,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,5.555328298,11365,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,12.4,11365,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,10.97,11365,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,11.72,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,10.35,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,7.46,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,6.01,11434,Queens
Fine particles (PM 2.5),mcg/m3,Sunset Park,,,10.78,11220,Brooklyn
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,9.61,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,6.51,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,6.42,11434,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,6.51,11365,Queens
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,,,7.911146996,11365,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,6.48277595,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,10.98,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,10.79,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,6.89,11434,Queens
Fine particles (PM 2.5),mcg/m3,Southeast Queens,,,7.06,11434,Queens
Fine particles (PM 2.5),mcg/m3,Flushing and Whitestone (CD7),,,6.65,11354,Queens
Fine particles (PM 2.5),mcg/m3,Flushing and Whitestone (CD7),,,12.79,11354,Queens
Fine particles (PM 2.5),mcg/m3,Flushing and Whitestone (CD7),,,11.51,11354,Queens
Fine particles (PM 2.5),mcg/m3,South Beach - Tottenville,,,11.47,10307,Staten Island
Fine particles (PM 2.5),mcg/m3,South Beach - Tottenville,,,7.82,10307,Staten Island
Fine particles (PM 2.5),mcg/m3,Williamsburg - Bushwick,,,10.33,11206,Brooklyn
Fine particles (PM 2.5),mcg/m3,Bayside - Little Neck,,,8.98,11361,Queens
Nitrogen dioxide (NO2),ppb,Jamaica,,,21.22,11432,Queens
Nitrogen dioxide (NO2),ppb,Long Island City - Astoria,,,18.77,11101,Queens
Nitrogen dioxide (NO2),ppb,Jamaica,,,17.56,11432,Queens
Nitrogen dioxide (NO2),ppb,Jamaica,,,17.55,11432,Queens
Nitrogen dioxide (NO2),ppb,Jamaica,,,10.79354872,11432,Queens
Nitrogen dioxide (NO2),ppb,Jamaica,,,19.71102945,11432,Queens
Nitrogen dioxide (NO2),ppb,Borough Park,,,11.36657578,11219,Brooklyn
Nitrogen dioxide (NO2),ppb,Borough Park,,,21.0263611,11219,Brooklyn
Nitrogen dioxide (NO2),ppb,Canarsie - Flatlands,,,19.18550528,11236,Brooklyn
Nitrogen dioxide (NO2),ppb,South Bronx,,,18.56,10455,Bronx
Nitrogen dioxide (NO2),ppb,South Bronx,,,20.38,10455,Bronx
Nitrogen dioxide (NO2),ppb,South Bronx,,,20.25,10455,Bronx
Nitrogen dioxide (NO2),ppb,South Bronx,,,18.99,10455,Bronx
Nitrogen dioxide (NO2),ppb,Jamaica,,,16.21,11432,Queens
Ozone (O3),ppb,Jamaica,,,30.99122698,11432,Queens
Nitrogen dioxide (NO2),ppb,South Bronx,,,21.48186462,10455,Bronx
